url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.20	Euphemus		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.21	Neptuni		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.22	et	uninflected conjunction	urn:cite2:tabulae:ls.v1:n16278
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.23	Europes		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.24	Tityi		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.25	filiae	noun: feminine nominative plural	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.25	filiae	noun: feminine genitive singular	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.25	filiae	noun: feminine dative singular	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.25	filiae	noun: feminine vocative plural	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.26	filius	noun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n18185
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.26_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.27	Taenarius		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.27_0	;		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.28	hic	pronoun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n20640
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.28	hic	adverb: positive degree	urn:cite2:tabulae:ls.v1:n20640
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.29	super	uninflected preposition	urn:cite2:tabulae:ls.v1:n46609
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.29	super	adverb: positive degree	urn:cite2:tabulae:ls.v1:n46609
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.30	aquas	noun: feminine accusative plural	urn:cite2:tabulae:ls.v1:n3259
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.31	sicco	adjective: masculine dative singular positive	urn:cite2:tabulae:ls.v1:n44132
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.31	sicco	adjective: masculine ablative singular positive	urn:cite2:tabulae:ls.v1:n44132
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.31	sicco	adjective: neuter dative singular positive	urn:cite2:tabulae:ls.v1:n44132
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.31	sicco	adjective: neuter ablative singular positive	urn:cite2:tabulae:ls.v1:n44132
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.32	pede	noun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n35756
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.33	cucurrisse		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.34	dicitur	finite verb: third singular present indicative passive	urn:cite2:tabulae:ls.v1:n13804
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.34_0	.		urn:cite2:tabulae:ls.v1:null
