url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.0	itaque	uninflected conjunction	ls.n25104:itaque
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.1	cum	uninflected preposition	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.2	oculum	noun: masculine accusative singular	ls.n32239:oculus
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.3	eius	pronoun: feminine genitive singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.3	eius	pronoun: neuter genitive singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.3	eius	pronoun: masculine genitive singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.4	trunco		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.5	ardenti	participle: present active masculine dative singular	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.5	ardenti	participle: present active masculine ablative singular	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.5	ardenti	participle: present active feminine dative singular	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.5	ardenti	participle: present active feminine ablative singular	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.5	ardenti	participle: present active neuter dative singular	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.5	ardenti	participle: present active neuter ablative singular	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.6	exureret		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.6_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.7	ille	pronoun: masculine nominative singular	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.8	clamore	noun: masculine ablative singular	ls.n8479:clamor
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.9	suo	adjective: masculine dative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.9	suo	adjective: masculine ablative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.9	suo	adjective: neuter dative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.9	suo	adjective: neuter ablative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.10	ceteros	adjective: masculine accusative plural positive	ls.n7640:ceterus
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.11	Cyclopas		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.12	conuocauit	finite verb: third singular perfect indicative active	ls.n11044:convoco
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.12_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.14	spelunca	noun: masculine nominative singular	ls.n44958:spelunca
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.14	spelunca	noun: masculine ablative singular	ls.n44958:spelunca
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.14	spelunca	noun: masculine vocative singular	ls.n44958:spelunca
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.15	praeclusa		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.16	dixit	finite verb: third singular perfect indicative active	ls.n13804:dico2
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.16_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.17	Utis	finite verb: second singular present indicative active	ls.n50002:utor
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.18	me	pronoun: masculine ablative singular	ls.n15326:ego
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.18	me	pronoun: feminine accusative singular	ls.n15326:ego
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.18	me	pronoun: feminine ablative singular	ls.n15326:ego
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.18	me	pronoun: masculine accusative singular	ls.n15326:ego
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.19	excaecat	finite verb: third singular present indicative active	ls.n16624:excaeco
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.19_0	.		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.20	illi	pronoun: masculine dative singular	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.20	illi	pronoun: masculine nominative plural	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.20	illi	pronoun: feminine dative singular	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.20	illi	pronoun: neuter dative singular	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.21	credentes	participle: present active masculine nominative plural	ls.n11525:credo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.21	credentes	participle: present active masculine accusative plural	ls.n11525:credo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.21	credentes	participle: present active masculine vocative plural	ls.n11525:credo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.21	credentes	participle: present active feminine nominative plural	ls.n11525:credo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.21	credentes	participle: present active feminine accusative plural	ls.n11525:credo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.21	credentes	participle: present active feminine vocative plural	ls.n11525:credo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.22	eum	pronoun: masculine accusative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.23	deridendi		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.24	gratia	noun: feminine nominative singular	ls.n19896:gratia
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.24	gratia	noun: feminine ablative singular	ls.n19896:gratia
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.24	gratia	noun: feminine vocative singular	ls.n19896:gratia
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.25	dicere	finite verb: second singular present indicative passive	ls.n13804:dico2
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.25	dicere	finite verb: second singular future indicative passive	ls.n13804:dico2
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.25	dicere	finite verb: third plural perfect indicative active	ls.n13804:dico2
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.25	dicere	infinitive: present active	ls.n13804:dico2
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.26	neglexerunt	finite verb: third plural perfect indicative active	ls.n30680:neglego
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.26_0	.		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.27	at	uninflected conjunction	ls.n4220:at
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.28	Ulixes		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.29	socios	adjective: masculine accusative plural positive	ls.n44562:socius
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.30	suos	adjective: masculine accusative plural positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.31	ad	uninflected preposition	ls.n665:ad
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.32	pecora	noun: neuter nominative plural	ls.n34312:pecus1
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.32	pecora	noun: neuter accusative plural	ls.n34312:pecus1
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.32	pecora	noun: neuter vocative plural	ls.n34312:pecus1
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.33	alligauit	finite verb: third singular perfect indicative active	ls.n1947:alligo
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.34	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.35	ipse	pronoun: masculine nominative singular	ls.n24872:ipse
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	participle: perfect passive masculine vocative singular	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: masculine accusative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: masculine ablative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: feminine ablative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: neuter ablative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: feminine ablative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: neuter accusative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: feminine accusative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: neuter ablative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: feminine accusative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: neuter accusative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: masculine accusative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.36	se	pronoun: masculine ablative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.37	ad	uninflected preposition	ls.n665:ad
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.38	arietem	noun: masculine accusative singular	ls.n3621:aries
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.38_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.39	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.5	125a.5.40	ita	adverb: positive degree	ls.n25100:ita
