url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.19	suo	adjective: masculine ablative singular positive	urn:cite2:tabulae:ls.v1:n47174
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.19	suo	adjective: neuter dative singular positive	urn:cite2:tabulae:ls.v1:n47174
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.19	suo	adjective: neuter ablative singular positive	urn:cite2:tabulae:ls.v1:n47174
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.20	educauerunt	finite verb: third plural perfect indicative active	urn:cite2:tabulae:ls.v1:n15175
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.20_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.22	quod	uninflected conjunction	urn:cite2:tabulae:ls.v1:n40262
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.22	quod	pronoun: neuter accusative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.22	quod	pronoun: neuter nominative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.23	pedes	noun: masculine nominative plural	urn:cite2:tabulae:ls.v1:n35756
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.23	pedes	noun: masculine accusative plural	urn:cite2:tabulae:ls.v1:n35756
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.23	pedes	noun: masculine vocative plural	urn:cite2:tabulae:ls.v1:n35756
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.24	transiectos		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.25	haberet	finite verb: third singular imperfect subjunctive active	urn:cite2:tabulae:ls.v1:n20077
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.25_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.26	Oedipum		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.27	nominauerunt	finite verb: third plural perfect indicative active	urn:cite2:tabulae:ls.v1:n31146
https://lingualatina.github.io/texts/browsable/hyginus/66pr/	66pr.2	66pr.2.27_0	.		urn:cite2:tabulae:ls.v1:null
