url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.0	itaque	uninflected conjunction	urn:cite2:tabulae:ls.v1:n25104
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.1	tamquam	adverb: positive degree	urn:cite2:tabulae:ls.v1:n47450
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.2	auxilium	noun: neuter nominative singular	urn:cite2:tabulae:ls.v1:n4660
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.2	auxilium	noun: neuter accusative singular	urn:cite2:tabulae:ls.v1:n4660
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.2	auxilium	noun: neuter vocative singular	urn:cite2:tabulae:ls.v1:n4660
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.3	eis	pronoun: masculine ablative plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.3	eis	pronoun: feminine ablative plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.3	eis	pronoun: neuter ablative plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.3	eis	pronoun: neuter dative plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.3	eis	pronoun: masculine dative plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.3	eis	pronoun: feminine dative plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.4	afferret		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.4_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.5	facem	noun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n17843
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.6	ardentem	participle: present active masculine accusative singular	urn:cite2:tabulae:ls.v1:n3492
https://lingualatina.github.io/texts/browsable/hyginus/116a/	116a.3	116a.3.6	ardentem	participle: present active feminine accusative singular	urn:cite2:tabulae:ls.v1:n3492
