url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.11	se	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003401,Neuter,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.11	se	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020001401,Masculine,Accusative,Plural)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.11	se	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020001501,Masculine,Ablative,Plural)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.12	commutauit	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:314110004,Third,Singular,Perfect,Indicative,Active)	urn:cite2:tabulae:ls.v1:n9489
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.13	et	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000A,Conjunction)	urn:cite2:tabulae:ls.v1:n16278
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.14	ait	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:311110004,Third,Singular,Present,Indicative,Active)	urn:cite2:tabulae:ls.v1:n1659
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.14_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.15	Alumna		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.15_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.16	pete	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:211310004,Second,Singular,Present,Imperative,Active)	urn:cite2:tabulae:ls.v1:n35822
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.17	a	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000B,Preposition)	urn:cite2:tabulae:ls.v1:n4
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.18	Ioue		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.19	ut	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000A,Conjunction)	urn:cite2:tabulae:ls.v1:n49975
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.20	sic	ValidAdverbForm(urn:cite2:tabulae:morphforms.v1:000000013,Positive)	urn:cite2:tabulae:ls.v1:n44111
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.21	ad	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000B,Preposition)	urn:cite2:tabulae:ls.v1:n665
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.22	te	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010001401,Masculine,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n49339
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.22	te	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010001501,Masculine,Ablative,Singular)	urn:cite2:tabulae:ls.v1:n49339
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.22	te	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010002401,Feminine,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n49339
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.22	te	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010002501,Feminine,Ablative,Singular)	urn:cite2:tabulae:ls.v1:n49339
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.23	ueniat	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:311210004,Third,Singular,Present,Subjunctive,Active)	urn:cite2:tabulae:ls.v1:n50442
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.24	quemadmodum	ValidAdverbForm(urn:cite2:tabulae:morphforms.v1:000000013,Positive)	urn:cite2:tabulae:ls.v1:n40073
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.25	ad	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000B,Preposition)	urn:cite2:tabulae:ls.v1:n665
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.26	Iunonem		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.26_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.27	ut	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000A,Conjunction)	urn:cite2:tabulae:ls.v1:n49975
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.28	scias	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:211210004,Second,Singular,Present,Subjunctive,Active)	urn:cite2:tabulae:ls.v1:n42976
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.29	quae	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020002101,Feminine,Nominative,Plural)	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.29	quae	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020003401,Neuter,Accusative,Plural)	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.29	quae	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020003101,Neuter,Nominative,Plural)	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.29	quae	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020003401,Neuter,Accusative,Plural)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.29	quae	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020003101,Neuter,Nominative,Plural)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.29	quae	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020002101,Feminine,Nominative,Plural)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.29	quae	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010002101,Feminine,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.30	uoluptas	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010002100,Feminine,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n51343
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.30	uoluptas	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010002600,Feminine,Vocative,Singular)	urn:cite2:tabulae:ls.v1:n51343
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.31	est	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:311110004,Third,Singular,Present,Indicative,Active)	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.32	cum	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000B,Preposition)	urn:cite2:tabulae:ls.v1:n11872
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.33	deo	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010001300,Masculine,Dative,Singular)	urn:cite2:tabulae:ls.v1:n13573
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.33	deo	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010001500,Masculine,Ablative,Singular)	urn:cite2:tabulae:ls.v1:n13573
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.33	deo	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010001300,Masculine,Dative,Singular)	urn:cite2:tabulae:ls.v1:n13573
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.34	concumbere	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:211120004,Second,Singular,Present,Indicative,Passive)	urn:cite2:tabulae:ls.v1:n9942
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.34	concumbere	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:213120004,Second,Singular,Future,Indicative,Passive)	urn:cite2:tabulae:ls.v1:n9942
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.34	concumbere	ValidInfinitiveForm(urn:cite2:tabulae:morphforms.v1:001010006,Present,Active)	urn:cite2:tabulae:ls.v1:n9942
https://lingualatina.github.io/texts/browsable/hyginus/167a/	167a.2	167a.2.34_0	.		urn:cite2:tabulae:ls.v1:null
