url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.0	Agamemnon		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.1	Atrei		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.2	filius	noun: masculine nominative singular	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.3	Iphigeniam		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.3_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.4	quam	pronoun: feminine accusative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.5	Diana	noun: feminine nominative singular	ls.n13731:Diana
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.5	Diana	noun: feminine ablative singular	ls.n13731:Diana
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.5	Diana	noun: feminine vocative singular	ls.n13731:Diana
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.6	seruauit	finite verb: third singular perfect indicative active	ls.n43947:servo
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.6_0	.		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.7	id	pronoun: neuter nominative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.7	id	pronoun: neuter accusative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.8	est	finite verb: third singular present indicative active	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.9	Callisthenem		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.10	Euboeae		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.11	filiam	noun: feminine accusative singular	ls.n18173:filia
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.12	ex	uninflected conjunction	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.13	sortibus	noun: feminine dative plural	ls.n44805:sors
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.13	sortibus	noun: feminine ablative plural	ls.n44805:sors
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.14	pro	uninflected preposition	ls.n38383:pro1
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.15	patriae	noun: feminine nominative plural	ls.n34131:patria
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.15	patriae	noun: feminine genitive singular	ls.n34131:patria
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.15	patriae	noun: feminine dative singular	ls.n34131:patria
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.15	patriae	noun: feminine vocative plural	ls.n34131:patria
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.16	salute		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.16_0	.		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.17	Clymenus		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.18	Schoenei		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.19	filius	noun: masculine nominative singular	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.20	Harpalycen		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.20_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.21	quod	uninflected conjunction	ls.n40262:quod1
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.21	quod	pronoun: neuter accusative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.21	quod	pronoun: neuter nominative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.22	ei	pronoun: masculine dative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.22	ei	pronoun: feminine dative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.22	ei	pronoun: neuter dative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.22	ei	pronoun: masculine nominative plural	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.23	filium	noun: masculine accusative singular	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.24	suum	adjective: masculine accusative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.24	suum	adjective: neuter nominative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.24	suum	adjective: neuter accusative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.24	suum	adjective: neuter vocative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.25	in	uninflected preposition	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.26	epulis	noun: neuter dative plural	ls.n16047:epulum
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.26	epulis	noun: neuter ablative plural	ls.n16047:epulum
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.27	apposuit	finite verb: third singular perfect indicative active	ls.n3177:appono
https://lingualatina.github.io/texts/browsable/hyginus/238_237/	238_237.1	238_237.1.27_0	.		ls.null
