url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.18	regia	adjective: feminine ablative singular positive	urn:cite2:tabulae:ls.v1:n40905
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.18	regia	adjective: feminine vocative singular positive	urn:cite2:tabulae:ls.v1:n40905
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.18	regia	adjective: neuter nominative plural positive	urn:cite2:tabulae:ls.v1:n40905
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.18	regia	adjective: neuter accusative plural positive	urn:cite2:tabulae:ls.v1:n40905
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.18	regia	adjective: neuter vocative plural positive	urn:cite2:tabulae:ls.v1:n40905
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.19	apparuerunt	finite verb: third plural perfect indicative active	urn:cite2:tabulae:ls.v1:n3120
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.20	Parcae	noun: feminine nominative plural	urn:cite2:tabulae:ls.v1:n33821
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.20	Parcae	noun: feminine genitive singular	urn:cite2:tabulae:ls.v1:n33821
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.20	Parcae	noun: feminine dative singular	urn:cite2:tabulae:ls.v1:n33821
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.20	Parcae	noun: feminine vocative plural	urn:cite2:tabulae:ls.v1:n33821
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.21	Clotho		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.22	Lachesis		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.23	Atropos		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.23_0	.		urn:cite2:tabulae:ls.v1:null
