url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/245_237/	245_237.title	245_237.title.0	QUI	pronoun: masculine nominative plural	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/245_237/	245_237.title	245_237.title.0	QUI	pronoun: masculine nominative plural	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/245_237/	245_237.title	245_237.title.0	QUI	pronoun: masculine nominative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/245_237/	245_237.title	245_237.title.1	SOCEROS		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/245_237/	245_237.title	245_237.title.2	ET	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/245_237/	245_237.title	245_237.title.3	GENEROS		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/245_237/	245_237.title	245_237.title.4	OCCIDERUNT	finite verb: third plural perfect indicative active	ls.n32088:occido1
https://lingualatina.github.io/texts/browsable/hyginus/245_237/	245_237.title	245_237.title.4_0	.		ls.null
