url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.15	commutaret	finite verb: third singular imperfect subjunctive active	urn:cite2:tabulae:ls.v1:n9489
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.15_0	;		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.16	quae	pronoun: feminine nominative plural	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.16	quae	pronoun: neuter accusative plural	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.16	quae	pronoun: neuter nominative plural	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.16	quae	pronoun: neuter accusative plural	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.16	quae	pronoun: neuter nominative plural	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.16	quae	pronoun: feminine nominative plural	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.16	quae	pronoun: feminine nominative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.17	in	uninflected preposition	urn:cite2:tabulae:ls.v1:n22111
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.18	arborem	noun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n3372
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.19_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.20	hoc	pronoun: neuter accusative singular	urn:cite2:tabulae:ls.v1:n20640
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.20	hoc	pronoun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n20640
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.20	hoc	pronoun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n20640
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.20	hoc	pronoun: neuter nominative singular	urn:cite2:tabulae:ls.v1:n20640
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.21	est	finite verb: third singular present indicative active	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.22	tiliam		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.22_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.23	commutata	participle: perfect passive feminine nominative singular	urn:cite2:tabulae:ls.v1:n9489
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.23	commutata	participle: perfect passive feminine ablative singular	urn:cite2:tabulae:ls.v1:n9489
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.23	commutata	participle: perfect passive feminine vocative singular	urn:cite2:tabulae:ls.v1:n9489
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.23	commutata	participle: perfect passive neuter nominative plural	urn:cite2:tabulae:ls.v1:n9489
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.23	commutata	participle: perfect passive neuter accusative plural	urn:cite2:tabulae:ls.v1:n9489
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.23	commutata	participle: perfect passive neuter vocative plural	urn:cite2:tabulae:ls.v1:n9489
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.24	est	finite verb: third singular present indicative active	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/138a/	138a.2	138a.2.24_0	.		urn:cite2:tabulae:ls.v1:null
