url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.0	illi	pronoun: masculine dative singular	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.0	illi	pronoun: masculine nominative plural	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.0	illi	pronoun: feminine dative singular	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.0	illi	pronoun: neuter dative singular	ls.n21494:ille
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.1	autem	uninflected conjunction	ls.n4633:autem
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.2	matris	noun: feminine genitive singular	ls.n28181:mater
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.3	monitu	supine: ablative	ls.n29544:moneo
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.4	cum	uninflected preposition	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.5	in	uninflected preposition	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.6	montem	noun: masculine accusative singular	ls.n29604:mons
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.7	exissent	finite verb: third plural pluperfect subjunctive active	ls.n16804:exeo
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.7_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.8	proelium	noun: neuter nominative singular	ls.n38589:proelium
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.8	proelium	noun: neuter accusative singular	ls.n38589:proelium
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.8	proelium	noun: neuter vocative singular	ls.n38589:proelium
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.9	inter	uninflected preposition	ls.n24154:inter1
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.10	se	participle: perfect passive masculine vocative singular	ls.do
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.10	se	pronoun: masculine accusative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.10	se	pronoun: masculine ablative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.10	se	pronoun: feminine ablative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.10	se	pronoun: neuter ablative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.10	se	pronoun: feminine ablative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/186a/	186a.7	186a.7.10	se	pronoun: neuter accusative plural	ls.n46498:sui
